Sample,Depth,ROV,Phosphate,Ammonium,Sulfide,Sulphate,Methane,DIC,¦Ä15N,¦Ä13C,%ON,%OC,DOM_t,DOM_a,DOM_m,DOM_c,DOM_b,DOM_SR,DOM_BIX,DOM_FI,DOM_HIX,DNA_18S_Whole_Richness,RNA_18S_Whole_Richness,DNA_Breviatea_Richness,RNA_Breviatea_Richness,DNA_Laby_Richness,RNA_Laby_Richness,DNA_Apicomplexa_Richness,RNA_Apicomplexa_Richness,DNA_16s_Whole_Richness,RNA_16s_Whole_Richness,DNA_ANME1_Richness,RNA_ANME1_Richness,DNA_Methano_Richness,RNA_Methano_Richness,DNA_Gamma_Richness,RNA_Gamma_Richness
D517ROV2PC203_10,10,ROV2,0.2385,34.45,0.055,1769.25,9779.5,11.415,1.3,-30.5,0.21,1.19,1.30193638,1.963208247,1.209345428,0.874537075,1.340711353,1.978141029,1.281758065,1.451397718,0.642753845,157,138,2,5,1,2,18,1,573,893,8,14,5,19,78,119
D517ROV2LPC1_0,0,ROV2,0.569333333,31.2,0.403333333,2527.333333,4840.733333,4.49,3.1,-26.8,0.2,1.32,0.570212062,1.489876913,0.910287654,0.739197124,0.567889398,2.479465836,0.961103525,1.305249215,0.744082973,70,297,0,12,1,8,10,4,1107,1709,6,5,5,10,182,314
D522ROV1PC203_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,2.6,-23.1,0.17,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,254,3,17,5,12,10,7,1620,1259,1,4,0,13,272,254
D517ROV2LPC1_5,5,ROV2,0.2605,29.4,0.11,2330.25,6842.15,6.75,2.6,-27.7,0.18,1.07,0.54967112,1.301422236,0.81909495,0.647343347,0.675776137,2.404402726,1.000599597,1.283572439,0.682388561,286,228,3,16,4,11,17,7,847,1731,5,3,3,13,143,247
D517ROV2LPC1_10,10,ROV2,0.2385,34.45,0.055,1769.25,9779.5,11.415,3.2,-27.7,0.21,1.31,6.228475596,5.79299109,1.331418455,2.352219063,3.059246619,2.709587123,0.765820444,1.652710265,0.728169609,49,138,0,4,1,4,5,1,1057,1115,3,4,3,14,159,173
D519ROV3LPC2_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.5,-22.6,0.16,1.2,0.593057623,1.65029672,0.986693891,0.795249495,0.62507525,2.048122346,0.988989919,1.28140903,0.722330515,116,355,2,8,6,8,23,12,2567,2363,1,3,4,7,394,385
D519ROV3LPC2_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.9,-22.1,0.15,0.99,0.395432429,1.267106176,0.747915636,0.60182453,0.558213478,2.321853464,0.901379777,1.277268169,0.701675569,234,234,1,8,15,9,7,8,2792,2496,2,5,4,8,323,337
D519ROV3LPC2_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.7,-22.4,0.13,0.9,0.575986322,1.225363454,0.761514107,0.576738248,0.704772778,2.366590918,1.037074905,1.288091794,0.659842579,207,193,1,5,18,2,9,2,2659,1862,1,8,2,10,277,250
D518ROV3PC201_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.2,-22.5,0.15,1.08,0.503414083,1.390542671,0.818504325,0.675307152,0.565551074,2.007124527,0.906440675,1.326873276,0.719174307,135,346,1,12,2,10,12,4,1397,2166,1,7,1,13,242,346
D518ROV3PC201_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.7,-22.4,0.12,0.91,0.457342689,1.247279951,0.735702854,0.593201166,0.497133371,2.335369154,0.980848136,1.300363516,0.713465919,67,243,0,15,0,8,5,4,605,1978,4,8,1,15,113,282
